Track,Title,Date,Start Time,End Time,Location,Description,People ID's,
Game Reviews,"All levels, Kim, Yoonyoung (4P)",7/27/2018,10:00 AM,11:50 AM,Lobby,,1003,"Kim, Yoonyoung (4P)"
Simuls,"6-Player Simul, Yilun Yang (7P)",7/23/2018,1:00 PM,2:50 PM,Chesapeake A,,1001,Yilun Yang (7P)
Simuls,"6-Player Simul, Ryo Maeda (6P)",7/23/2018,7:00 PM,8:50 PM,Chesapeake A,,1011,Ryo Maeda (6P)
Simuls,"6-Player Simul, Eodeokdung Lee (2P)",7/22/2018,1:00 PM,2:50 PM,Chesapeake A,,1014,Eodeokdung Lee (2P)
Simuls,"6-Player Simul, Eodeokdung Lee (2P)",7/23/2018,1:00 PM,2:50 PM,Chesapeake A,,1014,Eodeokdung Lee (2P)
Simuls,"6-Player Simul, Eodeokdung Lee (2P)",7/24/2018,3:00 PM,4:50 PM,Chesapeake A,,1014,Eodeokdung Lee (2P)
Simuls,"6-Player Simul, Eodeokdung Lee (2P)",7/26/2018,3:00 PM,4:50 PM,Chesapeake A,,1014,Eodeokdung Lee (2P)
Simuls,"6-Player Simul, Eodeokdung Lee (2P)",7/27/2018,3:00 PM,4:50 PM,Chesapeake A,,1014,Eodeokdung Lee (2P)
Simuls,"6-Player Simul, Mingjiu Jiang (7P)",7/24/2018,3:00 PM,4:50 PM,Chesapeake A,,1009,Mingjiu Jiang (7P)
Simuls,"6-Player Simul, Ryan Li (1P)",7/26/2018,1:00 PM,2:50 PM,Chesapeake A,,1008,Ryan Li (1P)
Simuls,"6-Player Simul, Eric Lui (1P)",7/24/2018,7:00 PM,8:50 PM,Chesapeake A,,1004,Eric Lui (1P)
Simuls,"6-Player Simul, Eric Lui (1P)",7/26/2018,1:00 PM,2:50 PM,Chesapeake A,,1004,Eric Lui (1P)
Simuls,Facebook Open Go Simul,7/22/2018,1:00 PM,3:00 PM,Tidewater A,Artificial Intelligence has taken go into new realms and this year at the US Go Congress attendees will be able to learn and improve their own games and have a lot of fun interacting with an AI. This Simul is a no-handicap teaching game with Facebook's OpenGo. OpenGo features a 20-0 record against top-30 professionals. Each player will be mailed an SGF file after the game along with annotations from OpenGo.,,
Simuls,Facebook Open Go Simul,7/23/2018,1:00 PM,3:00 PM,Tidewater A,Artificial Intelligence has taken go into new realms and this year at the US Go Congress attendees will be able to learn and improve their own games and have a lot of fun interacting with an AI. This Simul is a no-handicap teaching game with Facebook's OpenGo. OpenGo features a 20-0 record against top-30 professionals. Each player will be mailed an SGF file after the game along with annotations from OpenGo.,,
Simuls,Facebook Open Go Simul,7/24/2018,1:00 PM,3:00 PM,Tidewater A,Artificial Intelligence has taken go into new realms and this year at the US Go Congress attendees will be able to learn and improve their own games and have a lot of fun interacting with an AI. This Simul is a no-handicap teaching game with Facebook's OpenGo. OpenGo features a 20-0 record against top-30 professionals. Each player will be mailed an SGF file after the game along with annotations from OpenGo.,,
Simuls,"6-Player Simul, Wei Ding (9P)",7/22/2018,7:00 PM,8:50 PM,Chesapeake A,,1005,Wei Ding (9P)
Simuls,"6-Player Simul, Wei Ding (9P)",7/23/2018,3:00 PM,4:50 PM,Chesapeake A,,1005,Wei Ding (9P)
Simuls,"6-Player Simul, Wei Ding (9P)",7/26/2018,1:00 PM,2:50 PM,Chesapeake A,,1005,Wei Ding (9P)
Simuls,"6-Player Simul, Wei Ding (9P)",7/27/2018,1:00 PM,2:50 PM,Chesapeake A,,1005,Wei Ding (9P)
Simuls,"6-Player Simul, Wei Ding (9P)",7/27/2018,3:00 PM,4:50 PM,Chesapeake A,,1005,Wei Ding (9P)
Simuls,"6-Player Simul, Hai Li (5P)",7/22/2018,1:00 PM,2:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Hai Li (5P)",7/22/2018,3:00 PM,4:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Hai Li (5P)",7/23/2018,1:00 PM,2:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Hai Li (5P)",7/23/2018,3:00 PM,4:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Hai Li (5P)",7/24/2018,3:00 PM,4:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Hai Li (5P)",7/27/2018,1:00 PM,2:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Hai Li (5P)",7/28/2018,1:00 PM,2:50 PM,Chesapeake A,,1013,Hai Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/22/2018,1:00 PM,2:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/22/2018,3:00 PM,4:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/23/2018,1:00 PM,2:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/23/2018,3:00 PM,4:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/24/2018,1:00 PM,2:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/26/2018,1:00 PM,2:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/26/2018,3:00 PM,4:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Liang Li (5P)",7/28/2018,1:00 PM,2:50 PM,Chesapeake A,,1007,Liang Li (5P)
Simuls,"6-Player Simul, Song, Zirui (Tim) (1P)",7/24/2018,1:00 PM,2:50 PM,Chesapeake A,,1017,"Song, Zirui (Tim) (1P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/22/2018,1:00 PM,2:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/22/2018,3:00 PM,4:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/22/2018,7:00 PM,8:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/23/2018,3:00 PM,4:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/23/2018,7:00 PM,8:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/24/2018,1:00 PM,2:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/27/2018,1:00 PM,2:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/27/2018,3:00 PM,4:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Katsura, Atsushi (5P)",7/28/2018,1:00 PM,2:50 PM,Chesapeake A,,1010,"Katsura, Atsushi (5P)"
Simuls,"6-Player Simul, Song, HyeRyung (2P)",7/22/2018,3:00 PM,4:50 PM,Chesapeake A,,1015,"Song, HyeRyung (2P)"
Simuls,"6-Player Simul, Song, HyeRyung (2P)",7/24/2018,3:00 PM,4:50 PM,Chesapeake A,,1015,"Song, HyeRyung (2P)"
Simuls,"6-Player Simul, Song, HyeRyung (2P)",7/24/2018,7:00 PM,8:50 PM,Chesapeake A,,1015,"Song, HyeRyung (2P)"
Simuls,"6-Player Simul, Song, HyeRyung (2P)",7/26/2018,1:00 PM,2:50 PM,Chesapeake A,,1015,"Song, HyeRyung (2P)"
Simuls,"6-Player Simul, Song, HyeRyung (2P)",7/26/2018,3:00 PM,4:50 PM,Chesapeake A,,1015,"Song, HyeRyung (2P)"
Simuls,"6-Player Simul, Song, HyeRyung (2P)",7/27/2018,3:00 PM,4:50 PM,Chesapeake A,,1015,"Song, HyeRyung (2P)"
Simuls,"6-Player Simul, Kim, Yoonyoung (4P)",7/28/2018,1:00 PM,2:50 PM,Chesapeake A,,1003,"Kim, Yoonyoung (4P)"
Special Events,Crazy Go,7/24/2018,7:00 PM,10:00 PM,Chesapeake A,,,
Special Events,Facebook Open Go - Pair Go with Pros,7/24/2018,7:00 PM,10:00 PM,Commonwealth Auditorium,"Pair Go demonstration match with live commentary. Two Pros, each with Open Go as a Pair Go partner will face off.",,
Special Events,Opening Ceremony,7/21/2018,7:00 PM,9:00 PM,"Chesapeake A, B, C",,,
Special Events,Registration,7/21/2018,10:00 AM,7:00 PM,Lobby,,,
Special Events,Banquet and Awards,7/28/2018,6:00 PM,10:00 PM,Sadler Center,,,
Special Events,Departure,7/29/2018,7:00 AM,11:00 AM,,Check out by 11 AM,,
Youth Room,Youth Check-in and Welcome Party,7/21/2018,1:00 PM,3:00 PM,Chesapeake C,,,
Youth Room,Pizza!,7/21/2018,3:00 PM,6:00 PM,Chesapeake C,,,
Youth Room,Lightning Go Tournament,7/22/2018,1:00 PM,4:00 PM,Chesapeake C,19x19 played at lightning speed. Time limit 10 minutes each. No overtime. TD may declare a winner if player behind is playing uselessly trying to run out the clock.,,
Youth Room,"Pro Game Reviews and Lessons, Ryo Maeda (6P)",7/22/2018,3:00 PM,4:50 PM,Chesapeake C,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. ",1011,Ryo Maeda (6P)
Youth Room,"Pro Game Reviews and Lessons, Eodeokdung Lee (2P)",7/23/2018,3:00 PM,4:50 PM,Chesapeake C,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. ",1014,Eodeokdung Lee (2P)
Youth Room,"Pro Game Reviews and Lessons, Ding, Wei (9P)",7/26/2018,1:00 PM,2:50 PM,Chesapeake C,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. ",1005,"Ding, Wei (9P)"
Youth Room,9x9 Tournament,7/23/2018,1:00 PM,2:00 PM,Chesapeake C,Quick games played on a 9x9 board.,,
